Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
66,Nicolas Batum,POR,24,73,32,41,38.4,14.3,4.8,11.4,42.3,2.3,6.1,37.2,2.4,2.9,84.8,1.3,4.3,5.6,4.9,2.6,1.2,1.1,1.9,33.1,7,2,-1.5,10850000,0.004665462676
67,Amar'e Stoudemire,NYK,30,29,16,13,23.5,14.2,5.3,9.2,57.7,0,0,0,3.6,4.5,80.8,2.1,2.9,5,0.4,1.7,0.3,0.7,3.1,22.4,0,0,0.9,19948799,0.008577914947
68,George Hill,IND,27,76,46,30,34.5,14.2,5.1,11.5,44.3,1.7,4.6,36.8,2.3,2.8,81.7,0.6,3.1,3.7,4.7,1.5,1.1,0.3,1.8,28.3,3,0,5.5,8000000,0.00343997248
69,Lou Williams,ATL,26,39,22,17,28.7,14.1,4.8,11.4,42.2,1.8,5,36.7,2.7,3.1,86.8,0.2,1.8,2.1,3.6,1.9,1.1,0.3,1.4,24.2,1,0,0.1,5000000,0.0021499828
70,Gordon Hayward,UTA,23,72,37,35,29.2,14.1,4.7,10.7,43.5,1.4,3.4,41.5,3.4,4.1,82.7,0.7,2.4,3.1,3,1.7,0.8,0.5,1.7,24.6,0,0,1.5,2709720,0.001165170279
71,Anderson Varejao,CLE,30,25,5,20,36,14.1,5.5,11.6,47.8,0,0.2,0,3.1,4.1,75.5,5.5,8.9,14.4,3.4,1.8,1.5,0.6,2.7,40.8,16,0,-3,8368182,0.003598289474
72,JJ Redick,MIL,29,78,26,52,30.5,14.1,4.9,11.3,43.4,2.1,5.8,36.6,2.2,2.4,90,0.2,2,2.2,3.8,1.8,0.5,0.1,1.5,22.5,0,0,-1.2,6750000,0.00290247678
73,Marc Gasol,MEM,28,80,55,25,35,14.1,5.4,10.9,49.4,0,0.2,7.1,3.4,4,84.8,2.3,5.5,7.8,4,2,1,1.7,3.2,35.6,18,0,5.4,13891359,0.005973236584
74,Kevin Martin,OKC,30,77,57,20,27.7,14,4.5,10.1,45,2.1,4.8,42.6,2.8,3.2,89,0.4,1.9,2.3,1.4,1.3,0.9,0.1,1.8,20.6,0,0,5.7,12439675,0.005349017458
75,Raymond Felton,NYK,29,68,47,21,34,13.9,5.5,13,42.7,1.4,3.8,36,1.5,1.9,78.9,0.8,2.1,2.9,5.5,2.3,1.4,0.2,1.9,28.1,3,0,4.1,3480453,0.001496582817
76,Bradley Beal,WAS,20,56,21,35,31.2,13.9,5,12.3,41,1.6,4.2,38.6,2.2,2.8,78.6,0.8,3,3.8,2.4,1.6,0.9,0.5,2,24.7,3,0,-1.6,4319280,0.001857275542
77,Isaiah Thomas,SAC,24,79,27,52,26.9,13.9,4.6,10.5,44,1.5,4.1,35.8,3.2,3.6,88.2,0.4,1.7,2,4,1.8,0.8,0,2.1,23.3,2,0,-1.8,762195,0.0003277412281
78,Greivis Vasquez,NOH,26,78,26,52,34.4,13.9,5.6,13,43.3,1.1,3.1,34.2,1.6,2,80.5,0.6,3.8,4.3,9,3.2,0.8,0.1,2.4,32.2,25,1,-2.3,1191240,0.0005122291022
79,Rajon Rondo,BOS,27,38,18,20,37.4,13.7,5.9,12.2,48.4,0.3,1.3,24,1.6,2.4,64.5,1.1,4.4,5.6,11.1,3.9,1.8,0.2,2.5,39.4,20,5,-1.5,11000000,0.00472996216
80,Pau Gasol,LAL,32,49,27,22,33.8,13.7,5.5,11.8,46.6,0.2,0.6,28.6,2.6,3.6,70.2,2.3,6.3,8.6,4.1,2.1,0.5,1.2,1.9,33.2,15,2,2,19285850,0.008292849157
81,Anthony Davis,NOH,20,64,23,41,28.8,13.5,5.5,10.6,51.6,0,0.1,0,2.6,3.5,75.1,2.6,5.6,8.2,1,1.4,1.2,1.8,2.5,32.2,20,0,-2.4,5144280,0.002212022704
82,Vince Carter,DAL,36,81,41,40,25.8,13.4,4.6,10.6,43.5,2,4.9,40.6,2.2,2.8,81.6,0.7,3.4,4.1,2.4,1.3,0.9,0.5,2.8,25,1,0,3,3090000,0.00132868937
83,Jeremy Lin,HOU,24,82,45,37,32.2,13.4,4.8,10.9,44.1,1.1,3.1,33.9,2.6,3.4,78.5,0.4,2.6,3,6.1,2.9,1.6,0.4,2.5,29.1,9,0,1.6,8374646,0.003601068971
84,Evan Turner,PHI,24,82,34,48,35.3,13.3,5.4,12.8,41.9,0.7,1.9,36.5,1.9,2.5,74,0.7,5.6,6.3,4.3,2.3,0.9,0.2,2.4,28.3,14,0,-2.6,5293080,0.002276006192
85,Brandon Knight,DET,21,75,29,46,31.5,13.3,4.8,11.7,40.7,1.6,4.4,36.7,2.2,3,73.3,0.7,2.6,3.3,4,2.7,0.8,0.1,2.1,23.2,3,0,-1.6,2678640,0.001151805986
