,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
238,Jeff Foster,IND,31,77,34,43,24.5,6.4,2.7,4.8,55,0,0,0,1.1,1.9,59.3,3.4,5.2,8.7,1.7,0.8,0.7,0.4,2.9,22,10,0,-0.5,5500000,0.0011
239,Kurt Thomas,SAS,35,70,32,38,22.6,6.3,2.8,5.7,49.2,0,0,0,0.8,1.1,66.3,1.9,5.4,7.2,1,0.7,0.8,0.8,2.7,20.6,4,0,-1,8091188,0.0016182376
240,Antoine Wright,DAL,24,56,26,30,22,6.3,2.4,5.9,41.3,0.6,2,29.1,0.8,1.2,68.7,0.7,1.9,2.6,1.4,0.9,0.5,0.4,2.3,13.3,0,0,-3.2,1680600,0.00033612
241,Darius Songaila,WAS,30,80,42,38,19.4,6.2,2.7,5.8,45.8,0,0,0,0.8,0.9,91.8,1,2.4,3.4,1.7,1.1,0.7,0.2,2.3,14.3,0,0,0.3,3942000,0.0007884
242,Stromile Swift,NJN,28,56,20,36,15.1,6.1,2.4,4.7,50.9,0,0,0,1.3,1.9,67,1.1,2.4,3.6,0.5,0.9,0.3,1,2,13.9,1,0,-1.4,5800000,0.00116
243,Erick Dampier,DAL,32,72,44,28,24.4,6.1,2.5,3.8,64.3,0,0,0,1.2,2,57.5,2.9,4.6,7.5,0.9,1.1,0.3,1.5,3.1,20.7,6,0,2.3,10590500,0.0021181
244,Johan Petro,SEA,22,72,18,54,18.2,6,2.6,6.1,41.9,0,0,0,0.9,1.2,73.6,1.4,3.8,5.1,0.4,1,0.5,0.6,2.4,15,3,0,-4,1077120,0.000215424
245,Bruce Bowen,SAS,37,81,56,25,30.2,6,2.1,5.3,40.7,1.1,2.7,41.9,0.6,0.9,65.2,0.4,2.5,2.9,1.1,0.6,0.7,0.3,2.2,13.4,0,0,2.5,4125000,0.000825
246,Alonzo Mourning,MIA,38,25,7,18,15.6,6,2.1,3.8,54.7,0,0,0,1.8,3,59.2,1.4,2.4,3.7,0.3,1,0.2,1.7,2.2,15.4,1,0,-1,2762500,0.0005525
247,Eduardo Najera,DEN,31,78,48,30,21.3,5.9,2.2,4.7,47.3,0.7,1.9,36.1,0.8,1.1,70.8,1.4,2.9,4.3,1.2,0.8,0.9,0.5,2.6,16.4,0,0,4,4952380,0.000990476
248,Marcus Williams,NJN,22,53,21,32,16.1,5.9,2.1,5.5,37.9,1,2.7,38,0.7,0.9,78.7,0.3,1.6,1.9,2.6,1.4,0.5,0.1,1,12.3,0,0,-3.5,1180200,0.00023604
248,Marcus Williams,NJN,22,53,21,32,16.1,5.9,2.1,5.5,37.9,1,2.7,38,0.7,0.9,78.7,0.3,1.6,1.9,2.6,1.4,0.5,0.1,1,12.3,0,0,-3.5,50254,1.01E-05
249,Smush Parker,LAC,27,28,3,25,21.2,5.9,2.3,6.6,34.8,0.6,2.8,23.1,0.7,1,67.9,0.1,1.7,1.8,3,1.6,0.9,0.2,2.1,14.2,0,0,-3.7,181320,3.63E-05
250,Rodney Carney,PHI,24,70,36,34,14.8,5.8,2.3,5.6,40.3,0.5,1.7,31.7,0.8,1.2,67.9,0.7,1.4,2.1,0.5,0.5,0.6,0.3,1.4,11.3,0,0,0.3,1547760,0.000309552
251,Blake Ahearn,MIA,24,12,1,11,14.8,5.8,1.3,4.8,26.3,0.8,2.8,29.4,2.5,2.6,96.8,0.1,1.5,1.6,1.6,1.3,0.5,0,1.7,10.3,0,0,-6.3,67844,1.36E-05
251,Chris Duhon,CHI,25,66,25,41,22.6,5.8,2,5.2,38.7,0.8,2.3,34.8,1,1.2,81.3,0.3,1.5,1.8,4,1.1,0.7,0,1.4,15.1,1,0,-1,3248000,0.0006496
253,Corey Brewer,MIN,22,79,21,58,22.8,5.8,2.3,6.2,37.4,0.1,0.5,19.4,1.1,1.4,80,1,2.7,3.7,1.4,1.1,1,0.3,2.4,15.1,0,0,-4.1,2535720,0.000507144
254,Gordan Giricek,PHX,31,56,32,24,14.8,5.8,2.4,5.4,44,0.6,1.8,36.4,0.4,0.5,88.5,0.3,1.4,1.7,1.1,0.9,0.4,0.1,1.5,10.1,0,0,0.9,199452,3.99E-05
255,Tyronn Lue,DAL,31,50,21,29,14.7,5.8,2.3,5.1,44.7,0.8,1.7,45.3,0.5,0.6,78.1,0.2,0.9,1.1,1.5,0.5,0.2,0,1.3,9.5,0,0,0,199452,3.99E-05
256,Ime Udoka,SAS,30,73,50,23,18,5.8,2.2,5.1,42.4,0.8,2.3,37,0.6,0.8,75.9,0.5,2.6,3.1,0.9,0.8,0.8,0.2,1.7,13,1,0,2.2,1000000,0.0002
257,Jared Dudley,CHA,22,73,29,44,19,5.8,2.2,4.8,46.8,0.1,0.6,22,1.2,1.6,73.7,1.7,2.3,3.9,1.1,0.7,0.8,0.1,1.8,14.1,4,0,-0.6,1137000,0.0002274
258,Salim Stoudamire,ATL,25,35,12,23,11.5,5.7,1.9,5.1,36.1,0.8,2.4,34.1,1.2,1.4,82,0.1,0.6,0.7,0.8,0.6,0.2,0.1,1,8.2,0,0,-0.8,783000,0.0001566
