,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
179,Tyronn Lue,WAS,25,71,33,38,20.6,7.8,3.1,7.3,42.7,0.9,2,44.7,0.7,0.9,76.2,0.2,1.5,1.7,3.5,1.4,0.7,0,1.7,15.8,0,0,-0.3,1714000,0.001171565277
180,Othella Harrington,NYK,28,77,28,49,20.3,7.7,3.1,5.8,52.7,0,0,0,1.6,2.2,70.9,1.6,2.9,4.5,0.5,1.2,0.4,0.5,3.2,15.2,2,0,0.9,2475000,0.001691729323
181,Chris Mihm,CLE,22,74,26,48,22.4,7.7,3,7.1,42,0,0.1,42.9,1.7,2.4,69.3,1.8,3.5,5.3,0.3,1.3,0.2,1.2,3.5,17.6,5,0,-3.4,2067000,0.001412850308
182,Erick Strickland,BOS,28,79,47,32,20.8,7.7,2.4,6.2,38.9,1.2,3.1,38.5,1.7,2,84.5,0.3,2.4,2.7,2.3,1.2,0.7,0,1.8,15.4,0,0,-1.3,591000,0.0004039644566
183,Jerome Williams,TOR,29,68,37,31,24.1,7.6,2.8,5.7,49,0,0,0,2,3,67.6,2.4,3.3,5.7,1.1,1,1.1,0.4,2.3,19.6,6,0,1.2,5000000,0.003417634997
184,Ben Wallace,DET,27,80,49,31,36.5,7.6,3.2,6,53.1,0,0,0,1.2,2.9,42.3,4,9,13,1.4,0.9,1.7,3.5,2.2,40.1,25,1,1.9,4500000,0.003075871497
185,Erick Dampier,GSW,26,73,19,54,23.8,7.6,2.9,6.6,43.5,0,0,0,1.9,2.9,64.5,2.3,3,5.3,1.2,2.1,0.2,2.3,3.2,21.2,5,0,-3.1,6235000,0.004261790841
186,Chris Crawford,ATL,27,7,1,6,18.7,7.6,3,6.4,46.7,0,0.1,0,1.6,2.1,73.3,1.3,2.3,3.6,0.7,1.4,0.3,0.7,3,14.5,0,0,-4.9,2500000,0.001708817498
187,Joe Johnson,PHX,21,77,38,39,24.9,7.5,3.3,7.6,43,0.5,1.7,29.2,0.5,0.7,77.4,1,2.4,3.3,2.3,0.9,0.8,0.3,1.5,17.2,2,0,-0.6,1608000,0.001099111415
188,Gary Trent,MIN,27,64,39,25,17.8,7.5,3,6,50.7,0,0,0,1.4,2.3,63.9,1.6,2.6,4.2,0.9,0.9,0.3,0.4,2.5,15.3,3,0,-1,591000,0.0004039644566
189,Jonathan Bender,IND,21,78,41,37,21.1,7.4,2.5,5.9,43,0.6,1.6,36,1.8,2.3,77.3,0.8,2.3,3.1,0.8,1.2,0.2,0.6,1.9,13.8,1,0,-0.5,2546000,0.00174025974
