Unnamed: 0,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
184,Chimezie Metu,SAC,26,3,1,2,2,0.7,0,0.3,0,0,0,0,0.7,1,66.7,0.3,0,0.3,0,0.3,0,0,0,0.7,0,0,2.7,1910680,0.0003611871456
184,Furkan Korkmaz,PHI,25,3,1,2,3.8,0.7,0,0.7,0,0,0.3,0,0.7,0.7,100,0,0.3,0.3,0.3,0.3,0,0,0,1.2,0,0,-0.3,5000000,0.0009451795841
186,Ish Smith,DEN,34,4,4,0,2.9,0.5,0.3,0.5,50,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0.5,1.2,0,0,-1.5,4750000,0.0008979206049
186,Ish Wainright,PHX,28,6,1,5,3.5,0.5,0.2,0.7,25,0.2,0.7,25,0,0,0,0,0.2,0.2,0,0,0,0.2,0.3,1.2,0,0,-1.2,474851,8.98E-05
186,Justin Champagnie,BOS,22,4,4,0,2.6,0.5,0.3,1,25,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,28241,5.34E-06
186,Omer Yurtseven,MIA,25,8,4,4,2,0.5,0.3,0.9,28.6,0,0.3,0,0,0,0,0.4,0.3,0.6,0.1,0.1,0,0.1,0.3,1.7,0,0,-0.4,1752638,0.0003313115312
186,Raul Neto,CLE,31,2,1,1,3.5,0.5,0,0.5,0,0,0.5,0,0.5,1,50,0,0,0,0.5,1,0,0,1,0.3,0,0,-2,1836090,0.0003470869565
186,Reggie Jackson,DEN,33,6,6,0,3,0.5,0.2,0.3,50,0.2,0.3,50,0,0,0,0,0.3,0.3,0.3,0.2,0.2,0,0,1.7,0,0,-0.7,580373,0.0001097113422
192,Miles McBride,NYK,22,8,4,4,2.5,0.4,0.1,0.5,25,0.1,0.4,33.3,0,0,0,0,0.3,0.3,0.1,0,0,0.1,0.1,1.2,0,0,-1.1,1563518,0.0002955610586
193,Nikola Jović,MIA,20,7,3,4,1.8,0.3,0.1,0.6,25,0,0.3,0,0,0,0,0.1,0.6,0.7,0,0,0,0,0,1.1,0,0,0.6,,
194,Aaron Holiday,ATL,26,1,1,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.5,0,0,-3,1836090,0.0003470869565
194,Amir Coffey,LAC,26,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,3395062,0.0006417886578
194,Blake Griffin,BOS,34,1,0,1,5.9,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,2.4,0,0,0,1836090,0.0003470869565
194,Brandon Boston,LAC,21,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-2,1563518,0.0002955610586
194,DaQuan Jeffries,NYK,25,2,1,1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3,300000,5.67E-05
194,Derrick Rose,NYK,34,1,1,0,2.5,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,-7,,
194,Dewayne Dedmon,PHI,33,1,0,1,5,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0.2,0,0,-4,580373,0.0001097113422
194,Edmond Sumner,BKN,27,1,0,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,-4,1968175,0.0003720557656
194,Jason Preston,LAC,23,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1563518,0.0002955610586
194,Jordan McLaughlin,MIN,27,2,1,1,7.1,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,2.7,0,0,-5.5,2160000,0.0004083175803
194,Josh Minott,MIN,20,1,0,1,6.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,8,0,0,-4,1017781,0.0001923971645
194,Kessler Edwards,SAC,22,6,2,4,1.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0,0.8,1637966,0.0003096344045
194,Meyers Leonard,MIL,31,2,1,1,2.6,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.6,0,0,0,284911,5.39E-05
194,Mo Bamba,LAL,25,3,2,1,3.4,0,0,0.7,0,0,0.3,0,0,0,0,0,1,1,0.3,0,0,0.3,0,2.7,0,0,2.7,10300000,0.001947069943
194,Montrezl Harrell,PHI,29,2,2,0,3.5,0,0,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.6,0,0,-1.5,2463490,0.0004656880907
194,Patrick Baldwin Jr.,GSW,20,3,1,2,3.8,0,0,1,0,0,1,0,0,0,0,0,1,1,0.3,0,0,0,0,1.7,0,0,-1.3,2226000,0.0004207939509
194,Patty Mills,BKN,34,1,0,1,5.3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,6479000,0.001224763705
194,Ricky Rubio,CLE,32,3,0,3,5.7,0,0,0.3,0,0,0,0,0,0,0,0.7,1.3,2,1,1.7,0.3,0,1.7,3.2,0,0,-2.3,5853659,0.001106551796
194,Robert Covington,LAC,32,2,0,2,6,0,0,1.5,0,0,1,0,0,0,0,0,1,1,1,0,0,0.5,1,4.2,0,0,-3,12307692,0.002326595841
194,Thanasis Antetokounmpo,MIL,30,2,1,1,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878720,0.0003551455577
194,Thomas Bryant,DEN,25,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836090,0.0003470869565
