PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
Jared Sullinger,BOS,23,58,26,32,27,13.3,5.4,12.2,43.9,0.9,3.2,28.3,1.7,2.2,74.4,2.5,5.1,7.6,2.3,1.3,0.8,0.7,2.6,29,12,0,-0.4,1424520,0.0009522192513
Arron Afflalo,POR,29,78,35,43,32.1,13.3,4.8,11.3,42.4,1.5,4.3,35.4,2.1,2.5,84.3,0.3,2.8,3.2,1.7,1.5,0.5,0.1,2.1,19.9,0,0,-0.3,7500000,0.005013368984
Deron Williams,BKN,31,68,34,34,31.1,13,4.4,11.3,38.7,1.3,3.5,36.7,3,3.5,83.4,0.4,3.1,3.5,6.6,2.3,0.9,0.3,2.3,28.4,11,0,-0.2,19754465,0.01320485628
Trey Burke,UTA,22,76,35,41,30.1,12.8,4.9,13.2,36.8,1.6,5.1,31.8,1.4,1.9,75.2,0.4,2.3,2.7,4.3,1.6,0.9,0.2,1.6,24,3,0,-0.6,2548560,0.001703582888
Trey Burke,UTA,22,76,35,41,30.1,12.8,4.9,13.2,36.8,1.6,5.1,31.8,1.4,1.9,75.2,0.4,2.3,2.7,4.3,1.6,0.9,0.2,1.6,24,3,0,-0.6,2548560,0.001703582888
Trevor Ariza,HOU,29,82,56,26,35.7,12.8,4.5,11.1,40.2,2.4,6.8,35,1.5,1.7,85.3,0.9,4.7,5.6,2.5,1.7,1.9,0.2,2.3,27.8,3,0,2.8,8579089,0.00573468516
Kentavious Caldwell-Pope,DET,22,82,32,50,31.5,12.7,4.8,11.9,40.1,1.9,5.4,34.5,1.3,1.9,69.6,0.6,2.5,3.1,1.3,1.1,1.1,0.2,2,21.4,0,0,0.9,2772480,0.001853262032
Kentavious Caldwell-Pope,DET,22,82,32,50,31.5,12.7,4.8,11.9,40.1,1.9,5.4,34.5,1.3,1.9,69.6,0.6,2.5,3.1,1.3,1.1,1.1,0.2,2,21.4,0,0,0.9,2772480,0.001853262032
Giannis Antetokounmpo,MIL,20,81,41,40,31.4,12.7,4.7,9.6,49.1,0.1,0.5,15.9,3.2,4.3,74.1,1.2,5.5,6.7,2.6,2.1,0.9,1,3.1,28.3,10,0,0.1,1873200,0.001252139037
Rodney Stuckey,IND,29,71,34,37,26.4,12.6,4.7,10.6,44,0.8,2,39,2.5,3,81.9,0.5,3,3.5,3.1,1.7,0.8,0.1,1.8,22.6,2,0,-0.3,915243,0.0006117934492
DeMarre Carroll,ATL,28,70,53,17,31.3,12.6,4.5,9.3,48.7,1.7,4.3,39.5,1.8,2.6,70.2,1.4,3.9,5.3,1.7,1.1,1.3,0.2,2.2,25.2,3,0,3,2442455,0.001632657086
DeMarre Carroll,ATL,28,70,53,17,31.3,12.6,4.5,9.3,48.7,1.7,4.3,39.5,1.8,2.6,70.2,1.4,3.9,5.3,1.7,1.1,1.3,0.2,2.2,25.2,3,0,3,2442455,0.001632657086
Kenneth Faried,DEN,25,75,30,45,27.8,12.6,5,9.8,50.7,0,0.1,12.5,2.7,3.8,69.1,3.2,5.7,8.9,1.2,1.6,0.8,0.8,2.8,28.3,26,0,-0.5,2249768,0.001503855615
Nikola Pekovic,MIN,29,31,9,22,26.3,12.5,4.5,10.6,42.4,0,0,0,3.5,4.2,83.7,2.9,4.7,7.5,0.9,1.4,0.6,0.4,1.9,24.5,11,0,-1.8,12100000,0.008088235294
Danilo Gallinari,DEN,26,59,23,36,24.2,12.4,3.9,9.6,40.1,1.8,5.1,35.5,2.9,3.2,89.5,0.5,3.2,3.7,1.4,1,0.8,0.3,1.6,21.4,0,0,0.3,10854850,0.007255915775
Josh Smith,HOU,29,83,41,42,27.7,12.4,5,11.9,41.9,0.9,2.7,31.6,1.5,3.1,49.8,1.8,4.6,6.4,3.3,2.5,1,1.4,2.7,29.9,15,0,0.2,2077000,0.001388368984
Jabari Parker,MIL,20,25,13,12,29.5,12.3,5.2,10.5,49,0.2,0.6,25,1.8,2.6,69.7,2,3.5,5.5,1.7,1.9,1.2,0.2,1.7,23.9,2,0,-4.6,4930560,0.003295828877
Marcin Gortat,WAS,31,82,46,36,29.9,12.2,5.4,9.5,56.6,0,0,0,1.5,2.1,70.3,2.2,6.5,8.7,1.2,1.2,0.6,1.3,2.3,29.1,22,0,3.1,10434782,0.006975121658
Kyle Korver,ATL,34,75,58,17,32.2,12.1,3.9,8,48.7,2.9,6,49.2,1.4,1.6,89.8,0.2,3.9,4.1,2.6,1.4,0.7,0.6,1.9,23.3,1,0,8.3,6253521,0.004180161096
Ben McLemore,SAC,22,82,29,53,32.6,12.1,4.4,10.1,43.7,1.7,4.8,35.8,1.6,2,81.3,0.4,2.6,2.9,1.7,1.7,0.9,0.2,2.7,20.1,0,0,-0.4,3026280,0.002022914439
Ben McLemore,SAC,22,82,29,53,32.6,12.1,4.4,10.1,43.7,1.7,4.8,35.8,1.6,2,81.3,0.4,2.6,2.9,1.7,1.7,0.9,0.2,2.7,20.1,0,0,-0.4,3026280,0.002022914439
Gerald Henderson,CHA,27,80,32,48,28.9,12.1,4.6,10.6,43.7,0.6,1.7,33.1,2.3,2.7,84.8,0.5,3,3.4,2.6,1.4,0.6,0.3,1.7,21.4,2,0,-0.4,6000000,0.004010695187
JR Smith,CLE,29,70,38,32,29.7,12.1,4.5,10.8,41.7,2.3,6.1,38.3,0.8,1,75,0.4,2.7,3.1,2.8,1.4,1.2,0.3,2.3,23.1,0,0,2.3,6515510,0.004355287433
