Id,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
237,Kelly Olynyk,NOP,34,44,12,32,20.2,8.7,3,6.1,50,0.8,1.8,41.8,1.9,2.5,76.9,1.4,3.3,4.7,2.9,1.7,0.8,0.4,2.8,20.5,2,0,-1.3,12804878,0.002134146333
238,Dereck Lively II,DAL,21,36,21,15,23.1,8.7,3.7,5.3,70.2,0,0,0,1.3,2,63,2.9,4.6,7.5,2.4,1.1,0.6,1.6,2.8,26.5,8,0,3.4,5014560,0.00083576
239,Tyrese Martin,BKN,26,60,16,44,21.9,8.7,3.2,7.8,40.6,1.7,4.7,35.1,0.8,1,79.3,1,2.7,3.7,2,1.2,0.6,0.2,1.3,17.1,1,0,-4.3,635853,0.0001059755
240,Dorian Finney-Smith,LAL,32,63,36,27,28.9,8.7,3.1,6.9,44.8,2,5,41.1,0.5,0.7,66.7,1.3,2.7,3.9,1.4,0.9,0.9,0.4,2.2,18.5,0,0,4.9,14924168,0.002487361333
241,Jaden Hardy,DAL,22,57,30,27,15.9,8.7,3.2,7.3,43.5,1.3,3.5,38.6,1.1,1.5,69.8,0.2,1.4,1.6,1.4,1.4,0.5,0.1,1.6,13,0,0,-1.1,2019699,0.0003366165
242,Danté Exum,DAL,29,20,7,13,18.6,8.7,3.2,6.7,47.8,1.2,2.7,43.4,1.2,1.6,74.2,0.2,1.5,1.7,2.8,1.1,0.6,0.2,1.7,16,0,0,-2.4,,
243,Kyshawn George,WAS,21,68,15,53,26.5,8.7,3,8,37.2,1.7,5.2,32.2,1,1.4,75.3,0.7,3.5,4.2,2.5,1.4,1,0.7,3,21.2,1,0,-5.3,2825520,0.00047092
244,Oshae Brissett,PHI,27,6,1,5,23.7,8.7,3.2,6.5,48.7,1,3,33.3,1.3,2.3,57.1,1.2,2.5,3.7,0.7,1.3,0.7,0.5,2.3,16.2,0,0,-5.2,,
245,Isaiah Collier,UTA,20,71,14,57,25.9,8.7,3.3,7.8,42.2,0.6,2.4,24.9,1.5,2.2,68.2,0.5,2.9,3.3,6.3,2.9,0.9,0.2,2.1,22.6,11,0,-5.7,2520120,0.00042002
246,Jaime Jaquez Jr.,MIA,24,66,32,34,20.7,8.6,3.2,7,46.1,0.6,1.8,31.1,1.6,2.2,75.4,1.3,3.1,4.4,2.5,1.5,0.9,0.2,1.2,19.6,3,1,-2.3,3685800,0.0006143
247,Ja'Kobe Walter,TOR,20,52,19,33,21.2,8.6,3.1,7.6,40.5,1.3,3.6,34.9,1.3,1.6,79.5,1.1,1.9,3.1,1.6,1,0.8,0.2,1.8,16.8,1,0,-1.6,3565000,0.0005941666667
248,Matas Buzelis,CHI,20,80,39,41,18.9,8.6,3.2,6.9,45.4,1.2,3.3,36.1,1.1,1.4,81.5,0.7,2.8,3.5,1,0.9,0.4,0.9,1.6,17.2,1,0,-0.4,5195520,0.00086592
249,Sam Hauser,BOS,27,71,52,19,21.7,8.5,3,6.7,45.1,2.3,5.6,41.6,0.2,0.2,100,0.6,2.5,3.2,0.9,0.3,0.6,0.2,1.2,15.6,0,0,4.6,2092344,0.000348724
250,Larry Nance Jr.,ATL,32,24,10,14,19.3,8.5,3.3,6.5,51.6,1.4,3.2,44.7,0.4,0.5,69.2,1,3.3,4.3,1.6,0.7,0.8,0.5,1.5,19.4,3,0,-4,11205000,0.0018675
251,Jared Rhoden,TOR,25,14,8,6,16.2,8.4,3,6.2,48.3,0.9,2.8,30.8,1.6,1.8,88,1,2,3,1.1,0.6,0.7,0.1,1.4,15.7,1,0,4.6,,
252,Jaylen Nowell,NOP,25,8,1,7,21,8.4,3.3,9.1,35.6,1,3.4,29.6,0.9,1.4,63.6,0.8,1.8,2.5,2.3,1,0.1,0.5,1.1,15.6,0,0,-5.3,,
253,Cason Wallace,OKC,21,68,55,13,27.6,8.4,3.4,7.2,47.4,1.1,3.1,35.6,0.4,0.5,81.1,1,2.3,3.4,2.5,0.9,1.8,0.5,2.1,22.2,0,0,5.4,5555880,0.00092598
254,Brandon Clarke,MEM,28,64,40,24,18.9,8.3,3.7,5.9,62.1,0,0.3,5.9,1,1.4,70.1,2,3.1,5.1,1,0.6,0.8,0.6,2.3,19.5,2,0,2.8,12500000,0.002083333333
255,Dalano Banton,POR,25,67,28,39,16.7,8.3,3,7.6,39.1,1.1,3.3,32.4,1.4,1.9,72.8,0.4,1.6,2,2.4,1.3,0.6,0.5,0.9,16.5,0,0,-0.8,2196970,0.0003661616667
256,Brandon Williams,DAL,25,33,15,18,14.8,8.3,3,5.7,52.1,0.7,1.8,40,1.7,2,83.3,0.4,1.4,1.8,2.3,1.2,0.7,0.2,1,15.4,0,0,0.3,,
257,Keon Ellis,SAC,25,80,39,41,24.4,8.3,2.8,5.8,48.9,1.7,4,43.3,0.9,1.1,84.9,0.8,1.9,2.7,1.5,0.9,1.5,0.8,2.2,19.8,0,0,0.8,2120693,0.0003534488333
258,Bruce Brown,NOP,28,41,15,26,22.5,8.3,3.2,7.5,42.1,0.7,2,33.3,1.3,1.6,81.5,1,3,4,2,1,0.8,0.2,1.7,18.4,0,0,-5.5,23000000,0.003833333333
259,Taurean Prince,MIL,31,80,46,34,27.1,8.2,2.9,6.4,45.7,1.8,4.2,43.9,0.5,0.6,81.3,0.4,3.2,3.6,1.9,1,1,0.2,2.1,17.8,1,0,-0.3,2087519,0.0003479198333
260,Mike Conley,MIN,37,71,44,27,24.7,8.2,2.6,6.6,40,1.8,4.4,41,1.1,1.3,90,0.5,2.1,2.6,4.5,1.1,1.1,0.2,1.6,20.9,1,0,3.7,9975962,0.001662660333
261,Jalen Smith,CHI,25,64,28,36,15,8.2,3,6.4,46.6,1.1,3.5,32.4,1.1,1.4,80.9,1.4,4.2,5.6,1,0.6,0.3,0.7,1.5,18.7,4,0,-0.6,8571429,0.0014285715
262,Peyton Watson,DEN,22,68,40,28,24.3,8.1,3,6.3,47.7,0.7,2,35.3,1.4,2,69.3,0.7,2.7,3.4,1.4,0.8,0.7,1.4,1.8,19.7,0,0,-0.4,2413560,0.00040226
263,Quinten Post,GSW,25,42,26,16,16.3,8.1,2.9,6.5,44.9,1.7,4.3,40.8,0.5,0.6,77.8,0.8,2.7,3.5,1.3,0.8,0.4,0.4,2,16,0,0,1,438920,7.32E-05
264,Davion Mitchell,MIA,26,74,25,49,27.4,7.9,3,6.4,46.8,1.1,2.9,39.8,0.8,1.1,69,0.5,1.8,2.3,4.9,1.7,1,0.2,2.5,19.9,1,0,0,6451230,0.001075205
265,Day'Ron Sharpe,BKN,23,50,14,36,18.1,7.9,3.3,6.3,52.1,0.2,0.9,24.4,1.1,1.5,75.7,3,3.6,6.6,1.8,1.3,0.8,0.8,2.3,22.3,4,0,1.3,3989122,0.0006648536667
266,Caleb Martin,DAL,29,45,17,28,27.1,7.9,2.9,6.8,42.4,0.8,2.3,35.9,1.4,2.2,62.2,1.2,2.8,3.9,2.1,1.2,1,0.5,1.9,19.2,1,0,-3.4,8149001,0.001358166833
267,Tyson Etienne,BKN,25,7,1,6,21.6,7.9,2.4,7.4,32.7,1.9,6.3,29.5,1.1,1.4,80,0.4,0.9,1.3,1.7,1.1,0.4,0.1,2.4,12.5,0,0,-10,,
268,KJ Simpson,CHA,22,36,3,33,23.4,7.8,2.9,8.4,34.6,0.9,3.6,25.4,1.1,1.4,82,1.1,1.9,3,3.1,1.6,0.9,0.2,1.6,17.9,0,0,-7.7,,
269,Karlo Matković,NOP,24,42,12,30,18.8,7.7,3.2,5.6,57.4,0.5,1.6,31.8,0.8,1,77.3,1.5,3.5,5,1.1,1,0.5,1,2.5,18.8,4,0,-2.1,,
270,Terance Mann,ATL,28,67,37,30,21.1,7.7,3.1,6.2,49.6,0.9,2.4,36.8,0.7,1,69.1,1,2,3,1.8,0.7,0.7,0.2,1.9,16.1,0,0,-1.4,11423077,0.001903846167
271,Oscar Tshiebwe,UTA,25,14,3,11,18.2,7.6,3,5,60,0,0,0,1.6,2.2,74.2,3.3,5.4,8.7,0.6,0.7,0.9,0.1,1.7,21.4,4,0,-0.8,,
272,Lonzo Ball,CHI,27,35,16,19,22.2,7.6,2.5,6.9,36.6,1.9,5.6,34.4,0.6,0.8,81.5,0.7,2.7,3.4,3.3,1.2,1.3,0.5,1.6,20.9,0,0,2.9,21395348,0.003565891333
273,AJ Johnson,WAS,20,29,8,21,22,7.6,2.8,7.3,38.5,0.8,3.1,26.7,1.1,1.3,86.5,0.3,1.8,2,2.6,1.2,0.4,0.1,1.7,14.3,0,0,-5.2,2795294,0.0004658823333
274,Garrison Mathews,ATL,28,47,21,26,17.6,7.5,2.2,5.5,39.7,1.8,4.6,39,1.4,1.7,82.1,0.3,1.6,1.9,1.3,0.7,0.6,0.3,1.7,13.6,0,0,-1.3,2230253,0.0003717088333
275,Matisse Thybulle,POR,28,15,8,7,20.8,7.5,2.8,5.9,47.7,1.4,3.2,43.8,0.5,1,46.7,0.9,2.5,3.5,1.9,0.9,2.2,0.6,0.9,22,0,0,0.1,11025160,0.001837526667
276,Josh Green,CHA,24,68,17,51,27.8,7.4,2.6,6.2,42.8,1.4,3.6,39.1,0.7,1.1,68.1,0.8,1.7,2.5,1.6,1,1.1,0.2,2.4,15.8,0,0,-5.4,12654321,0.0021090535
277,Richaun Holmes,WAS,31,31,9,22,17.2,7.4,2.9,4.5,64.7,0,0.1,0,1.6,1.9,83.3,2,3.7,5.7,1.4,0.7,0.3,0.7,1.6,18.7,3,0,-1.2,12648321,0.0021080535
278,AJ Green,MIL,25,73,44,29,22.7,7.4,2.5,5.8,42.9,2.1,5,42.7,0.3,0.4,81.5,0.2,2.1,2.4,1.5,0.5,0.5,0.1,2.2,13.8,0,0,3.1,2120693,0.0003534488333
279,Andre Drummond,PHI,31,40,12,28,18.8,7.3,2.9,5.9,50,0.1,0.5,15,1.4,2.3,62.2,2.7,5,7.8,0.9,1.4,1,0.5,2.4,20.8,5,0,-6.1,5000000,0.0008333333333
280,Ricky Council IV,PHI,23,73,16,57,17.1,7.3,2.4,6.3,38.2,0.8,2.9,25.8,1.7,2.1,80.4,0.7,2.2,2.9,1.3,0.7,0.4,0.2,0.9,13.9,3,0,-2.2,1891857,0.0003153095
281,Damion Baugh,CHA,24,15,1,14,24.7,7.3,2.8,8.7,32.3,0.8,3.7,21.4,0.9,1,86.7,0.9,2.4,3.3,3.7,2.1,1,0.1,1.5,18.2,0,0,-11.3,,
282,Alec Burks,MIA,33,49,26,23,17.6,7.3,2.3,5.5,42.4,1.8,4.2,42.5,0.8,1,77.6,0.3,2.2,2.5,1.1,0.6,0.6,0.1,0.8,13.5,0,0,2.2,2087519,0.0003479198333
283,Vít Krejčí,ATL,25,57,28,29,20.2,7.2,2.5,5.1,49.7,1.6,3.6,43.7,0.6,0.8,71.1,0.4,2.4,2.7,2.6,0.9,0.6,0.5,1.8,16.8,1,0,-1.2,,
284,GG Jackson,MEM,20,29,19,10,15.8,7.2,2.6,6.9,37.2,1.1,3.3,33.7,1,1.4,72.5,0.9,2.2,3.2,1,1.1,0.4,0.2,1,13.2,0,0,-2.3,1891857,0.0003153095
285,Tristan da Silva,ORL,24,74,35,39,22,7.2,2.7,6.5,41.2,1.1,3.2,33.5,0.7,0.9,87.3,1,2.3,3.3,1.5,0.8,0.4,0.2,1.3,14.8,1,0,-1.7,3628440,0.00060474
286,Nae'Qwan Tomlin,CLE,24,5,4,1,12.7,7.2,2.6,6.4,40.6,0.4,2,20,1.6,2.2,72.7,1.8,2.4,4.2,0.4,0.4,0,0.2,1.8,13,1,0,1.4,,
287,Tre Jones,CHI,25,46,21,25,19.7,7.2,2.8,5.2,53.8,0.4,1,39.6,1.2,1.5,82.1,0.7,1.8,2.5,4.2,0.8,0.8,0.2,1.2,18.8,1,0,-0.7,9104167,0.001517361167
288,Goga Bitadze,ORL,25,70,38,32,20.4,7.2,3,4.8,61.1,0,0.4,10.7,1.2,1.9,63.9,2.4,4.2,6.6,2,1,0.7,1.4,2.1,23.3,15,0,1.1,9057971,0.001509661833
289,Sam Merrill,CLE,29,71,54,17,19.7,7.2,2.4,6,40.6,1.9,5.2,37.2,0.4,0.4,96.6,0.5,1.7,2.2,1.5,0.5,0.7,0.2,1.7,14.4,0,0,4.5,2164993,0.0003608321667
290,Daeqwon Plowden,ATL,26,6,3,3,11.9,7.2,2.7,4.2,64,1.5,2.8,52.9,0.3,0.3,100,0.7,1.2,1.8,0.3,0.7,0,0,1.7,9.2,0,0,4.8,,
291,Jamal Shead,TOR,22,75,28,47,19.6,7.1,2.7,6.7,40.5,1,3,32.3,0.7,0.9,76.8,0.4,1.1,1.5,4.2,1.6,0.8,0.1,2.1,16.4,1,0,-3.1,1862265,0.0003103775
292,Jamison Battle,TOR,24,59,21,38,17.7,7.1,2.5,5.9,42.9,1.8,4.4,40.5,0.3,0.3,88.9,0.6,2.1,2.7,0.9,0.5,0.3,0.2,1.6,12.6,0,0,-3.1,1000000,0.0001666666667
293,Josh Okogie,CHA,26,40,11,29,15.6,7.1,2.4,5.3,44.3,0.8,2.3,34.8,1.6,2.1,74.1,1.1,1.7,2.8,0.8,0.8,1.2,0.5,1.2,16,1,0,-0.3,8250000,0.001375
294,Alex Caruso,OKC,31,54,44,10,19.3,7.1,2.6,5.8,44.6,1.1,3.1,35.3,0.8,0.9,82.4,0.7,2.2,2.9,2.5,0.7,1.6,0.6,1.9,20.2,0,0,5.9,9890000,0.001648333333
295,Jalen Hood-Schifino,PHI,22,15,3,12,21,7.1,2.5,6.5,37.8,0.9,3.1,30.4,1.2,1.4,85.7,0.2,1.6,1.8,2.5,1.2,0.3,0.5,1.7,14.1,0,0,-6.4,3879840,0.00064664
296,Isaiah Jackson,IND,23,5,1,4,16.8,7,2.8,4.6,60.9,0,0,0,1.4,2.8,50,2.2,3.4,5.6,1,1,0.6,1.6,2.8,20.8,0,0,2,4435381,0.0007392301667
296,Jaylen Sims,CHA,26,6,0,6,18.6,7,2,4.7,42.9,1,2.5,40,2,2.5,80,0.5,0.5,1,2,1.3,0.5,0.2,1.7,11.9,0,0,-7.8,,
296,Marcus Garrett,CHA,26,4,1,3,19.8,7,2.8,6.8,40.7,0.8,2,37.5,0.8,1,75,0.3,1.3,1.5,3.3,1.5,0.8,0.5,2.5,15.9,0,0,-9.8,,
299,Jeff Dowtin Jr.,PHI,28,41,10,31,15.1,7,2.7,5.6,48.7,0.7,1.7,40,0.8,1.1,73.3,0.3,1.2,1.5,1.9,0.4,0.6,0.3,0.7,13.8,0,0,-2.5,2196970,0.0003661616667
300,Cameron Payne,NYK,30,72,46,26,15.1,6.9,2.5,6.2,40.1,1.3,3.6,36.3,0.7,0.8,90.7,0.2,1.3,1.4,2.8,0.7,0.5,0.2,1.5,14.5,0,0,2.8,2087519,0.0003479198333
301,Jake LaRavia,SAC,23,66,40,26,20.4,6.9,2.4,5.1,47.5,0.9,2.2,42.3,1.2,1.7,67.8,1.4,2.6,3.9,2.4,1.3,0.9,0.3,2,17.8,2,0,1.9,3352680,0.00055878
302,Antonio Reeves,NOP,24,44,6,38,15,6.9,2.6,5.6,45.6,1.2,2.9,39.5,0.6,0.8,80,0.4,1,1.4,0.9,0.7,0.5,0.1,0.9,11,0,0,-3.4,1157153,0.0001928588333
303,Ryan Dunn,PHX,22,74,32,42,19.1,6.9,2.8,6.4,43,1.1,3.6,31.1,0.3,0.5,48.7,1.2,2.4,3.6,0.8,0.5,0.6,0.5,2.2,15.3,3,0,-2.3,2538240,0.00042304
304,Orlando Robinson,TOR,24,44,23,21,17.5,6.9,2.6,5.9,44.4,0.4,1.2,32.7,1.2,1.6,77.1,2,3,5,1.8,1.1,0.4,0.4,2.3,16.6,4,0,-2,491887,8.20E-05
305,Jay Huff,MEM,27,64,37,27,11.7,6.9,2.5,4.8,51.5,1.3,3.1,40.5,0.7,0.9,78.6,0.5,1.5,2,0.6,0.5,0.3,0.9,1.2,13,0,0,0.4,2088033,0.0003480055
306,Jaxson Hayes,LAL,25,56,38,18,19.5,6.8,2.9,4,72.2,0,0.1,0,1.1,1.8,62.2,1.4,3.4,4.8,1,0.8,0.6,0.9,2.4,17.8,2,0,1.6,2463946,0.0004106576667
307,Eric Gordon,PHI,36,39,12,27,19.7,6.8,2.2,5.2,42.6,1.4,3.5,40.9,0.9,1.2,75,0.2,1,1.2,1.7,0.7,0.7,0.3,0.8,12.9,0,0,-1.8,3303771,0.0005506285
308,Bol Bol,PHX,25,36,10,26,12.5,6.8,2.7,5.1,52.5,0.9,2.6,34.4,0.6,0.7,76.9,0.6,2.3,2.9,0.6,0.6,0.3,0.7,0.6,13.4,1,0,-1,2087519,0.0003479198333
309,Cody Martin,PHX,29,53,16,37,22.1,6.8,2.6,6.1,41.8,0.8,2.8,28.5,0.8,1.2,70.5,1,3.2,4.2,2,1,1.1,0.6,1.8,18.8,0,0,-2,8120000,0.001353333333
310,DaQuan Jeffries,CHA,27,47,9,38,22.8,6.7,2.5,6.2,40.5,1.2,3.5,33.5,0.5,0.6,80,0.8,2.1,2.9,1.1,0.7,0.6,0.5,2.1,14.4,0,0,-5.9,2425204,0.0004042006667
311,Marcus Bagley,PHI,23,10,1,9,25.3,6.7,2.7,6.9,39.1,0.5,3.2,15.6,0.8,1,80,2.3,4.7,7,1,0.7,0.9,1.2,1.6,22.2,2,0,-8.4,,
312,Precious Achiuwa,NYK,25,57,36,21,20.5,6.6,2.9,5.7,50.2,0.2,0.6,27.8,0.7,1.2,59.4,1.8,3.8,5.6,1,0.8,0.8,0.7,1.4,18.7,3,0,-0.8,6000000,0.001
313,Vince Williams Jr.,MEM,24,27,10,17,18.5,6.6,2.5,6.2,40.1,1,3.5,27.4,0.7,0.9,79.2,0.8,2.8,3.6,2,1.2,0.4,0.3,1.7,14.9,1,0,0.2,2120693,0.0003534488333
314,Lester Quinones,NOP,24,13,3,10,14.1,6.6,2.4,6,39.7,1,3.4,29.5,0.8,1,84.6,0.3,1.2,1.5,1.8,1.1,0.2,0.2,1.4,11.2,0,0,-2,,
315,Marcus Sasser,DET,24,57,30,27,14.2,6.6,2.4,5.2,46.3,1,2.7,38.2,0.8,0.9,84.3,0.3,0.9,1.2,2.3,0.9,0.6,0.1,1.3,12.7,1,0,0.7,2755080,0.00045918
316,Trayce Jackson-Davis,GSW,25,62,33,29,15.6,6.6,2.8,4.9,57.6,0,0,0,1,1.6,57.8,2,3,5,1.7,0.7,0.4,0.6,1.2,17.3,4,0,-1,1891857,0.0003153095
317,Vasilije Micic,PHX,31,41,8,33,19.1,6.6,2.3,6.7,34.8,1.1,3,36,0.8,1,82.9,0.5,1.7,2.2,3.1,1.9,0.4,0,1.1,13.1,1,0,-3,7723000,0.001287166667
318,Trey Lyles,SAC,29,69,34,35,19.6,6.5,2.3,5.4,42,1.2,3.4,34,0.8,1.2,70,1.2,3.4,4.6,1.2,0.6,0.6,0.3,1.2,16,1,0,-1,8000000,0.001333333333
319,Talen Horton-Tucker,CHI,24,58,26,32,12.5,6.5,2.3,5,45.7,0.7,2.1,33.6,1.2,1.7,73.5,0.3,1.4,1.7,1.4,0.7,0.4,0.2,1,11.7,0,0,0.3,2087519,0.0003479198333
320,Seth Curry,CHA,34,68,17,51,15.6,6.5,2.4,5,47.8,1.2,2.7,45.6,0.5,0.6,84.6,0.4,1.3,1.7,0.9,0.5,0.4,0.1,0.9,10.9,0,0,-2.5,2087519,0.0003479198333
321,Donovan Clingan,POR,21,67,29,38,19.8,6.5,2.7,5,53.9,0.2,0.7,28.6,0.9,1.6,59.6,3.2,4.6,7.9,1.1,1.1,0.5,1.6,2.8,23,8,0,0,6586440,0.00109774
322,Ajay Mitchell,OKC,23,36,31,5,16.6,6.5,2.5,5.1,49.5,0.6,1.7,38.3,0.8,1,82.9,0.5,1.4,1.9,1.8,0.8,0.7,0.1,1.9,13,1,0,3.5,3000000,0.0005
322,Thomas Bryant,IND,27,66,44,22,14.6,6.5,2.5,4.9,50.8,0.7,2.2,32.4,0.8,1,85.9,1.3,2.5,3.8,0.8,0.5,0.4,0.6,1.2,15,1,0,-0.6,2087519,0.0003479198333
324,Haywood Highsmith,MIA,28,74,35,39,24.6,6.5,2.4,5.3,45.8,1.2,3.1,38.2,0.4,0.6,72.1,1,2.4,3.4,1.5,0.7,0.9,0.5,2.2,16.3,0,0,0.8,5200000,0.0008666666667
325,Gary Payton II,GSW,32,62,36,26,15,6.5,2.8,4.8,57.4,0.5,1.5,32.6,0.4,0.6,71.1,0.9,2.1,3,1.3,0.6,0.8,0.3,1.7,14.8,0,0,0.7,9130000,0.001521666667
326,Ronald Holland II,DET,19,81,44,37,15.6,6.4,2.4,5.1,47.4,0.4,1.9,23.8,1.1,1.5,75.4,0.5,2.2,2.7,1,0.9,0.6,0.2,1.7,12.7,0,0,-0.7,8245320,0.00137422
327,Kris Dunn,LAC,31,74,45,29,24.1,6.4,2.6,5.9,43.9,1,3,33.5,0.2,0.3,68.2,0.7,2.7,3.4,2.8,1,1.7,0.4,2.7,20,0,0,3.5,5168000,0.0008613333333
328,Gabe Vincent,LAL,29,72,46,26,21.2,6.4,2.3,5.8,40,1.5,4.3,35.3,0.2,0.3,71.4,0.3,1,1.3,1.4,0.6,0.7,0.2,2.1,12.1,0,0,0.7,11000000,0.001833333333
329,KJ Martin,UTA,24,43,11,32,21.2,6.4,2.6,4.7,55.2,0.3,1.3,25.9,0.9,1.1,78.7,0.7,2.2,2.9,1.1,0.6,0.4,0.5,2.3,13.7,0,0,-3.3,7975000,0.001329166667
330,Zach Collins,CHI,27,64,34,30,15.3,6.4,2.4,4.7,50.7,0.5,1.7,30.2,1.1,1.2,88.5,1.6,2.9,4.5,1.7,0.9,0.5,0.5,2.1,16.1,4,0,-0.5,16741200,0.0027902
331,Jeremiah Robinson-Earl,NOP,24,66,17,49,18.8,6.3,2.4,5.3,45.5,0.8,2.5,34.1,0.7,0.8,83.6,1.7,3.1,4.8,1.3,0.8,0.6,0.1,1.2,15.4,4,0,-5,2196970,0.0003661616667
332,Kenrich Williams,OKC,30,69,58,11,16.4,6.3,2.5,5.1,48.3,1,2.5,38.6,0.4,0.6,71.8,0.9,2.6,3.5,1.4,0.6,0.6,0.1,1.6,14.4,2,0,4.8,6669000,0.0011115
333,Sandro Mamukelashvili,SAS,26,61,23,38,11.2,6.3,2.3,4.6,50.2,1,2.6,37.3,0.7,1,74.1,1,2,3.1,0.8,0.4,0.4,0.3,1,12.7,2,0,-0.5,2087519,0.0003479198333
334,Ryan Rollins,MIL,22,56,30,26,14.6,6.2,2.4,4.8,48.7,0.9,2.1,40.8,0.6,0.8,80,0.4,1.6,1.9,1.9,0.9,0.8,0.3,1.6,13.5,1,0,1.5,491887,8.20E-05
335,Dru Smith,MIA,27,14,8,6,19.2,6.2,2.2,4.4,50.8,1.1,2.1,53.3,0.6,0.9,75,0.9,1.7,2.6,1.6,1.2,1.5,0.4,2.1,16.3,0,0,2.7,,
336,Bones Hyland,MIN,24,24,11,13,9.9,6.2,2,4.9,39.8,1.3,3.4,39,1,1.1,88.5,0.2,0.8,1,1.3,1,0.8,0.2,1.2,11.2,0,0,-1.3,4158439,0.0006930731667
337,Jonathan Mogbo,TOR,23,63,18,45,20.4,6.2,2.5,5.7,43.8,0.3,1.1,24.3,1,1.3,73.2,1.7,3.2,4.9,2.3,1.1,0.9,0.5,2.2,18.7,3,1,-3.8,1862265,0.0003103775
338,Jarace Walker,IND,21,75,45,30,15.8,6.1,2.3,4.8,47.2,1,2.5,40.5,0.6,0.9,66.7,0.3,2.7,3.1,1.5,1,0.7,0.3,1.5,14.1,0,0,-1.9,6362520,0.00106042
339,Isaac Okoro,CLE,24,55,44,11,19.1,6.1,2.3,4.9,46.4,1,2.7,37.1,0.6,0.8,71.7,0.9,1.5,2.4,1.2,0.4,0.6,0.3,1.9,13,0,0,4.6,10185185,0.001697530833
340,Isaiah Stewart,DET,24,72,38,34,19.9,6,2.4,4.4,55.9,0.2,0.7,32.1,0.9,1.2,75.9,1.8,3.7,5.5,1.7,0.9,0.4,1.4,2.5,19.7,2,0,0.1,15000000,0.0025
341,Luke Kornet,BOS,29,73,53,20,18.6,6,2.6,3.8,66.8,0,0,0,0.9,1.3,69.1,2.6,2.7,5.3,1.6,0.4,0.5,1,1.6,18.8,3,0,5.5,2087519,0.0003479198333
342,Isaiah Mobley,PHI,25,1,0,1,17.4,6,2,7,28.6,1,3,33.3,1,2,50,1,3,4,5,0,1,1,3,24.3,0,0,-6,,
342,Isaiah Wong,CHA,24,20,2,18,13.3,6,2.1,5.3,39,0.7,1.7,39.4,1.3,1.7,73.5,0.7,0.9,1.6,1.4,0.9,0.6,0,1.1,10.8,0,0,-0.3,,
342,James Wiseman,IND,24,1,1,0,4.6,6,2,4,50,0,1,0,2,2,100,0,1,1,0,0,0,0,0,7.2,0,0,-4,2237691,0.0003729485
342,N'Faly Dante,HOU,23,4,0,4,12.7,6,2.5,3.3,76.9,0,0,0,1,1.3,80,1.5,3.8,5.3,0.5,0.5,0.3,1.3,2.3,17.1,0,0,-2.8,,
346,Mouhamed Gueye,ATL,22,33,15,18,16.1,6,2.2,5.2,42.1,0.6,2.5,25.9,1,1.3,76.2,1.3,2.9,4.2,0.8,0.5,0.8,1,1.7,17.3,2,0,2.6,1891858,0.0003153096667
347,Simone Fontecchio,DET,29,75,38,37,16.5,5.9,2,5,40.2,1,3,33.5,0.9,1.1,83.3,0.7,2.2,2.9,0.9,0.7,0.4,0.2,1.3,11.7,0,0,0.2,7692308,0.001282051333
348,Jaylin Williams,OKC,23,47,40,7,16.7,5.9,2.1,4.7,43.9,1.3,3.3,39.9,0.5,0.6,76.7,1,4.6,5.6,2.6,0.7,0.5,0.6,1.7,18.9,4,3,6.4,2019699,0.0003366165
349,Cole Swider,TOR,26,10,5,5,17,5.9,2.2,6.3,34.9,1.5,4.7,31.9,0,0.1,0,0.5,2.2,2.7,0.3,0.4,0.4,0.2,1.2,11,0,0,5.4,,
350,Chuma Okeke,CLE,26,9,2,7,21.9,5.9,2.2,4.4,50,1.2,3.1,39.3,0.2,0.3,66.7,2.3,2.9,5.2,1.7,0.3,0.6,0.4,0.6,17.3,1,0,-3.1,,
351,Tidjane Salaün,CHA,19,60,12,48,20.7,5.9,1.9,5.8,33,1,3.4,28.3,1.1,1.6,71.3,1.2,3.5,4.7,1.2,1,0.5,0.2,1.4,14.5,2,0,-5.4,,
352,Collin Gillespie,PHX,26,33,12,21,14,5.9,2.1,4.8,43,1.2,2.7,43.3,0.6,0.7,86.4,0.7,1.7,2.4,2.4,0.5,0.6,0.2,0.9,14.1,1,0,-0.9,,
353,Kyle Anderson,MIA,31,61,30,31,16.4,5.9,2.3,5,46.9,0.4,1.1,35.7,0.8,1.1,73.8,0.9,2.5,3.4,2.4,0.6,0.7,0.5,1.3,16.5,2,0,-0.4,8780488,0.001463414667
354,Moses Brown,DAL,25,13,5,8,9.1,5.8,2.6,3.8,69.4,0,0,0,0.6,0.8,72.7,0.9,2.5,3.4,0.2,0.8,0.5,0.3,1.3,11.6,1,0,-1.1,,
355,Adem Bona,PHI,22,58,12,46,15.6,5.8,2.3,3.3,70.3,0,0,0,1.2,1.7,67,1.6,2.6,4.2,0.5,1.1,0.4,1.2,2.2,15.4,3,0,-1.9,1157153,0.0001928588333
356,Robert Williams III,POR,27,20,7,13,17.6,5.8,2.5,3.9,64.1,0.1,0.2,33.3,0.8,0.9,88.2,1.8,4.2,5.9,1.1,0.9,0.7,1.7,1.6,20.5,0,0,-0.9,12428571,0.0020714285
